AuthorID,Author,Date,Content,Attachments,Reactions
"736301671772061828","0_____________________________.0","2024-11-12T23:02:03.6430000+01:00","Splosna raven je tko res osnovna","",""
"755454471366115328","idunno_225","2024-11-12T23:03:06.2980000+01:00","Okey sej mby res ni tak tezk","",""
"755454471366115328","idunno_225","2024-11-12T23:03:24.5090000+01:00","Sam je","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:03:49.3310000+01:00","Matko sm tko zlahka naredu, da boli desna noga","",""
"755454471366115328","idunno_225","2024-11-12T23:04:06.2530000+01:00","Ka ostalo si tut?","",""
"755454471366115328","idunno_225","2024-11-12T23:04:09.1020000+01:00","Haha","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:04:48.7770000+01:00","Ne sm matko, kot dodaten predmet","",""
"755454471366115328","idunno_225","2024-11-12T23:04:50.0500000+01:00","Ugh a nej grem na visji nivo for the plot","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:04:55.1420000+01:00","Lol","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:04:56.5810000+01:00","Fr","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:05:12.1970000+01:00","Zjebi se za ta juicy sigma title","",""
"755454471366115328","idunno_225","2024-11-12T23:05:26.2520000+01:00","Poklicna matura core","",""
"755454471366115328","idunno_225","2024-11-12T23:05:34.2300000+01:00","Hello???","",""
"755454471366115328","idunno_225","2024-11-12T23:05:45.4200000+01:00","Okey bom😤","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:05:50.2400000+01:00","Ne neneneen","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:05:57.6320000+01:00","Sm ne visjega prosim te","",""
"755454471366115328","idunno_225","2024-11-12T23:06:06.2680000+01:00","Zakaaa","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:06:10.0490000+01:00","Razn ce si 180iq sigma grindset","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:06:13.7350000+01:00","Kr je ful tezka","",""
"755454471366115328","idunno_225","2024-11-12T23:07:01.3470000+01:00","Okej sej za petrol ne rabis it na visjega prau mas","",""
"755454471366115328","idunno_225","2024-11-12T23:07:14.9580000+01:00","Wdym ja sm🥺","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:07:43.3180000+01:00","Kam razmisljas naprej?","",""
"755454471366115328","idunno_225","2024-11-12T23:07:58.4820000+01:00","Hmmmmmmmm🧐🤔🤔","",""
"755454471366115328","idunno_225","2024-11-12T23:08:05.5290000+01:00","Hard question😭","",""
"755454471366115328","idunno_225","2024-11-12T23:08:29.3300000+01:00","Not sure😃","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:08:30.1090000+01:00","You know what else is hard","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:08:42.7880000+01:00","Visji nivo splosne mature","",""
"755454471366115328","idunno_225","2024-11-12T23:08:46.5160000+01:00","Me🤤","",""
"755454471366115328","idunno_225","2024-11-12T23:08:51.7310000+01:00","Oh-","",""
"755454471366115328","idunno_225","2024-11-12T23:08:54.9890000+01:00","Nvm","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:08:59.1040000+01:00","Tee hee~","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:09:08.3940000+01:00","Wait how can women be hard","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:09:11.6900000+01:00","Nvm","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:09:27.5530000+01:00","I shudder from the thought of that notion","","❤️ (1)"
"755454471366115328","idunno_225","2024-11-12T23:09:34.3250000+01:00","Ugh bos zvedu enkrat ko jih vidis u zivo dw","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:09:43.4000000+01:00","Yes, women scare me","",""
"755454471366115328","idunno_225","2024-11-12T23:10:00.2100000+01:00","Mene tut","",""
"755454471366115328","idunno_225","2024-11-12T23:10:08.4200000+01:00","(js)","",""
"755454471366115328","idunno_225","2024-11-12T23:10:16.6820000+01:00","Ew","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:11:11.5000000+01:00","Women are like flowers, you piss on them and they grow faster","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:11:18.6390000+01:00","Wait no this is not the quote","",""
"755454471366115328","idunno_225","2024-11-12T23:11:46.8810000+01:00","Girl what do you just say to me😯😯😯","",""
"755454471366115328","idunno_225","2024-11-12T23:11:49.5440000+01:00","Hahahahaah","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:12:00.0390000+01:00","I'm just a girl 🎀","",""
"755454471366115328","idunno_225","2024-11-12T23:12:08.8570000+01:00","Omggg yayyyyyy","",""
"755454471366115328","idunno_225","2024-11-12T23:12:13.5350000+01:00","Me too","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:12:18.1460000+01:00","What?????","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:12:19.4570000+01:00","No way","",""
"755454471366115328","idunno_225","2024-11-12T23:12:21.9210000+01:00","Bff?","",""
"755454471366115328","idunno_225","2024-11-12T23:12:28.9980000+01:00","KAJ?????","",""
"755454471366115328","idunno_225","2024-11-12T23:12:33.0860000+01:00","Don't scare me","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:12:38.2140000+01:00","Lmfoa","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:12:42.9400000+01:00","I mean....","",""
"755454471366115328","idunno_225","2024-11-12T23:12:46.7260000+01:00","🤨","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:12:46.7630000+01:00","Are you...?","",""
"755454471366115328","idunno_225","2024-11-12T23:12:51.3390000+01:00","Me?","",""
"755454471366115328","idunno_225","2024-11-12T23:13:02.7740000+01:00","Me am what","",""
"736301671772061828","0_____________________________.0","2024-11-12T23:13:17.0850000+01:00","Then a quick test will suffice: question: do you pee or poo?","",""
"755454471366115328","idunno_225","2024-11-12T23:13:26.8250000+01:00","Hmmmmm","",""
"755454471366115328","idunno_225","2024-11-12T23:13:38.9510000+01:00","Girls don't poo","",""
"755454471366115328","idunno_225","2024-11-12T23:13:44.2200000+01:00","So I pee🙈","",""
